               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,           0.0078192,           0.0036653,            0.029375,             0.52202,             0.78018,             0.61839,             0.60893,           0.0034121,           0.0015664,            0.018711,           0.0043075,           0.0043075,           0.0043075
                 117,           0.0078083,           0.0036723,            0.029167,             0.52253,             0.78035,             0.61901,             0.60957,           0.0034116,            0.001566,            0.018705,            0.004258,            0.004258,            0.004258
                 118,           0.0077863,           0.0036545,            0.029126,              0.5222,              0.7814,              0.6191,             0.60971,           0.0034106,            0.001566,              0.0187,           0.0042085,           0.0042085,           0.0042085
                 119,           0.0077936,            0.003706,            0.029252,              0.5215,             0.78264,             0.61952,             0.61014,            0.003411,           0.0015653,            0.018696,            0.004159,            0.004159,            0.004159
                 120,           0.0078115,           0.0036744,             0.02918,             0.52147,             0.78242,             0.61976,             0.61032,           0.0034104,            0.001565,            0.018692,           0.0041095,           0.0041095,           0.0041095
                 121,           0.0077743,           0.0036777,            0.029211,             0.52131,              0.7828,             0.61981,             0.61052,           0.0034104,           0.0015644,            0.018688,             0.00406,             0.00406,             0.00406
                 122,           0.0077492,           0.0036839,            0.028946,             0.52067,              0.7841,             0.62003,             0.61057,           0.0034114,           0.0015643,            0.018685,           0.0040105,           0.0040105,           0.0040105
                 123,            0.007727,           0.0036788,            0.029111,             0.52042,             0.78367,             0.62035,             0.61089,           0.0034126,            0.001564,            0.018681,            0.003961,            0.003961,            0.003961
                 124,           0.0077353,           0.0036838,            0.029037,             0.52029,              0.7841,             0.62046,               0.611,           0.0034133,           0.0015643,            0.018676,           0.0039115,           0.0039115,           0.0039115
                 125,           0.0076828,           0.0036546,            0.029063,             0.52109,             0.78347,             0.62064,             0.61119,           0.0034136,           0.0015647,            0.018672,            0.003862,            0.003862,            0.003862
                 126,           0.0076497,           0.0036398,            0.028902,             0.52156,             0.78406,              0.6211,             0.61178,           0.0034145,           0.0015649,            0.018667,           0.0038125,           0.0038125,           0.0038125
                 127,           0.0076018,           0.0036713,            0.028967,             0.52212,             0.78377,             0.62129,             0.61179,           0.0034146,           0.0015644,            0.018662,            0.003763,            0.003763,            0.003763
                 128,           0.0076537,           0.0036514,            0.028989,             0.52327,             0.78254,             0.62151,              0.6121,           0.0034147,           0.0015642,            0.018656,           0.0037135,           0.0037135,           0.0037135
                 129,           0.0076153,           0.0036399,            0.028991,             0.52288,             0.78253,             0.62175,             0.61222,           0.0034142,           0.0015637,             0.01865,            0.003664,            0.003664,            0.003664
                 130,           0.0076361,           0.0036638,            0.028878,              0.5222,             0.78479,             0.62183,             0.61225,           0.0034154,           0.0015635,            0.018644,           0.0036145,           0.0036145,           0.0036145
                 131,           0.0076148,           0.0036446,            0.028962,             0.52266,             0.78529,               0.622,             0.61252,           0.0034146,           0.0015637,             0.01864,            0.003565,            0.003565,            0.003565
                 132,           0.0076351,           0.0036197,            0.028909,             0.52204,             0.78657,             0.62218,             0.61269,           0.0034149,           0.0015636,            0.018634,           0.0035155,           0.0035155,           0.0035155
                 133,            0.007589,           0.0036461,            0.028903,             0.52188,             0.78871,             0.62252,             0.61309,           0.0034155,           0.0015622,             0.01863,            0.003466,            0.003466,            0.003466
                 134,           0.0075708,           0.0036079,            0.029017,             0.52116,             0.78941,             0.62263,             0.61319,           0.0034143,           0.0015614,            0.018623,           0.0034165,           0.0034165,           0.0034165
                 135,           0.0075551,           0.0036197,            0.028862,             0.52128,             0.78976,             0.62283,              0.6134,           0.0034155,           0.0015614,            0.018619,            0.003367,            0.003367,            0.003367
                 136,           0.0075091,           0.0035767,            0.028863,             0.52084,             0.79104,             0.62319,             0.61384,           0.0034162,           0.0015616,            0.018614,           0.0033175,           0.0033175,           0.0033175
                 137,             0.00754,           0.0036312,            0.028852,             0.52078,             0.79076,             0.62324,             0.61385,           0.0034157,           0.0015615,            0.018609,            0.003268,            0.003268,            0.003268
                 138,           0.0074872,           0.0036266,            0.028796,             0.52153,             0.78964,             0.62372,             0.61422,           0.0034158,           0.0015617,            0.018602,           0.0032185,           0.0032185,           0.0032185
                 139,           0.0075877,           0.0035961,            0.028797,             0.52167,             0.79008,             0.62398,             0.61442,           0.0034162,           0.0015614,            0.018598,            0.003169,            0.003169,            0.003169
                 140,            0.007483,            0.003611,            0.028844,             0.52275,             0.78764,             0.62428,             0.61471,           0.0034172,           0.0015608,            0.018591,           0.0031195,           0.0031195,           0.0031195
                 141,           0.0074763,           0.0036057,            0.028797,             0.52304,             0.78842,             0.62475,             0.61513,           0.0034178,           0.0015612,            0.018581,             0.00307,             0.00307,             0.00307
                 142,           0.0075223,           0.0035867,             0.02874,             0.52293,             0.78857,             0.62504,             0.61536,           0.0034191,            0.001561,            0.018575,           0.0030205,           0.0030205,           0.0030205
                 143,           0.0075273,           0.0035917,            0.028681,             0.52277,             0.78841,             0.62536,             0.61569,           0.0034194,           0.0015606,             0.01857,            0.002971,            0.002971,            0.002971
                 144,            0.007452,           0.0036162,             0.02862,             0.52614,             0.78303,             0.62566,             0.61595,           0.0034207,           0.0015599,            0.018562,           0.0029215,           0.0029215,           0.0029215
                 145,           0.0074283,            0.003581,            0.028765,             0.52551,             0.78496,             0.62603,             0.61627,           0.0034222,           0.0015591,            0.018556,            0.002872,            0.002872,            0.002872
                 146,           0.0074666,           0.0036019,            0.028585,             0.52689,              0.7846,             0.62638,             0.61661,           0.0034242,           0.0015592,            0.018549,           0.0028225,           0.0028225,           0.0028225
                 147,           0.0073933,           0.0035395,            0.028695,             0.52708,              0.7855,             0.62663,             0.61694,           0.0034255,           0.0015586,            0.018542,            0.002773,            0.002773,            0.002773
                 148,           0.0074765,             0.00359,            0.028737,             0.52607,             0.78724,             0.62686,             0.61686,           0.0034271,            0.001558,            0.018535,           0.0027235,           0.0027235,           0.0027235
                 149,           0.0074145,           0.0035835,            0.028475,             0.52683,               0.785,             0.62717,             0.61722,           0.0034275,           0.0015579,            0.018528,            0.002674,            0.002674,            0.002674
                 150,           0.0073902,           0.0035455,            0.028602,             0.52679,             0.78552,             0.62725,             0.61737,           0.0034291,           0.0015572,            0.018525,           0.0026245,           0.0026245,           0.0026245
                 151,           0.0073298,           0.0035665,            0.028707,             0.52751,             0.78598,             0.62738,             0.61738,             0.00343,           0.0015574,            0.018517,            0.002575,            0.002575,            0.002575
                 152,           0.0073684,           0.0035655,            0.028505,             0.52792,             0.78725,             0.62769,             0.61784,           0.0034311,           0.0015577,            0.018511,           0.0025255,           0.0025255,           0.0025255
